port_name,country,latitude,longitude
SALINA CRUZ,MX,16.166667,-95.2
PICHILINGUE,MX,24.266667,-110.333333
MARSTAL,DK,54.916667,10.333333
AEROSKOBING,DK,54.883333,10.416667
LAEM CHABANG,TH,13.083333,100.883333
MAP TA PHUT,TH,12.666667,101.166667
SATTAHIP,TH,12.616667,100.916667
RISAN,ME,42.516667,18.7
TIVAT,ME,42.433333,18.7
BAR,ME,42.083333,19.083333
SANKT-PETERBURG,RU,59.933333,30.3
KRONSHTADT,RU,59.983333,29.783333
KYRENIA,CY,35.35,33.333333
LIMASSOL,CY,34.666667,33.05
LARNACA,CY,34.916667,33.65
FAMAGUSTA,CY,35.116667,33.933333
PUERTO CRISTOBAL,PA,9.35,-79.916667
PUERTO COLON,PA,9.366667,-79.883333
NEKSO,DK,55.066667,15.133333
RONNE,DK,55.1,14.7
HASLE,DK,55.183333,14.7
CHRISTIANSO HARBOR,DK,55.316667,15.183333
MONTEGO BAY,JM,18.466667,-77.933333
PORT LOUIS,MU,-20.15,57.5
BINTULU PORT,MY,3.266667,113.066667
MONROVIA,LR,6.316667,-10.816667
BUCHANAN,LR,5.866667,-10.066667
MINA RAYSUT,OM,16.933333,54.016667
MINA QABUS,OM,23.633333,58.583333
PORT OF SOHAR,OM,24.516667,56.633333
LOWESTOFT,GB,52.483333,1.75
BRIDLINGTON,GB,54.083333,-0.183333
SCARBOROUGH,GB,54.283333,-0.4
WHITBY,GB,54.483333,-0.616667
RADE DE BREST,FR,48.383333,-4.5
CONCARNEAU,FR,47.866667,-3.916667
YALTA,UA,44.483333,34.166667
FEODOSIYA,UA,45.016667,35.433333
BERDYANSK,UA,46.75,36.783333
MARIUPOL,UA,47.083333,37.566667
SKADOVS'K,UA,46.1,32.916667
ILLICHIVSK,UA,46.3,30.65
ODESA,UA,46.483333,30.733333
DNIPRO-BUZKYY,UA,46.733333,31.883333
CEBU,PH,10.3,123.9
SAN CARLOS,PH,10.483333,123.416667
PORT CAPIZ,PH,11.6,122.716667
SANTA CRUZ (MARINDUQUE ISL),PH,13.5,122.066667
MANILA,PH,14.583333,120.966667
MONACO,MC,43.733333,7.416667
PORT WING,US,46.783333,-91.383333
SUPERIOR,US,46.733333,-92.066667
DULUTH,US,46.766667,-92.1
TWO HARBORS,US,47.016667,-91.65
GRAND MARAIS,US,46.683333,-85.966667
MARQUETTE,US,46.533333,-87.383333
PRESQUE ISLE,US,46.566667,-87.383333
HAEJU HANG,KP,38,125.7
MTWARA,TZ,-10.266667,40.2
LIMIN SIROU,GR,37.433333,24.95
AKRA KAVONISI,GR,35.516667,23.633333
POINTE NOIRE,CG,-4.783333,11.833333
KERTEMINDE,DK,55.45,10.666667
NYBORG,DK,55.316667,10.8
MIDDELFART,DK,55.5,9.733333
ASSENS,DK,55.266667,9.883333
CHANDLER,CA,48.366667,-64.666667
MACDUFF,GB,57.666667,-2.5
DUNBAR,GB,56,-2.516667
GRANTON,GB,55.983333,-3.216667
PETERHEAD,GB,57.5,-1.783333
FRASERBURGH HARBOR,GB,57.683333,-2
BUCKIE HARBOR,GB,57.683333,-2.966667
LOSSIEMOUTH,GB,57.716667,-3.283333
CROMARTY,GB,57.683333,-4.033333
PORTMAHOMACK HARBOR,GB,57.833333,-3.833333
HELMSDALE HARBOR,GB,58.116667,-3.65
WICK,GB,58.433333,-3.083333
ADAK NAVAL AIR STATION,US,51.866667,-176.633333
CRESCENT CITY,US,41.75,-124.2
PRINCETOWN,US,37.5,-122.483333
LONG BEACH,US,33.766667,-118.183333
LOS ANGELES,US,33.75,-118.25
PORT HUENEME,US,34.15,-119.2
SANTA BARBARA,US,34.416667,-119.683333
MORRO BAY,US,35.366667,-120.85
NEAH BAY,US,48.366667,-124.616667
BASTIA,FR,42.7,9.45
PORT DE PROPRIANO,FR,41.683333,8.9
PORT D' AJACCIO,FR,41.916667,8.75
L'ILE ROUSSE,FR,42.633333,8.933333
BONAVISTA HARBOR,CA,48.65,-53.116667
STUBBEKOBING,DK,54.883333,12.05
STEGE,DK,54.983333,12.283333
SAINT HELIER HARBOUR,GB,49.183333,-2.116667
ALDERNEY HARBOUR,GB,49.733333,-2.2
SAINT SAMPSON,GB,49.483333,-2.516667
SAINT PETER PORT,GB,49.45,-2.533333
TANGER,MA,35.783333,-5.816667
PORT NADOR,MA,35.283333,-2.933333
MOHAMMEDIA,MA,33.716667,-7.4
CASABLANCA,MA,33.6,-7.616667
SAFI,MA,32.3,-9.25
TANGIER-MEDITERRANEAN,MA,35.9,-5.516667
CUETA,ES,35.9,-5.316667
PORT D AL HOCEIMA,MA,35.25,-3.916667
EL JADIDA,MA,33.25,-8.5
AGADIR,MA,30.433333,-9.633333
EL JORF LASFAR,MA,33.116667,-8.616667
FUJAYRAH HARBOR,AE,25.166667,56.333333
MINA SAQR,AE,25.983333,56.05
AL HAMRIYAH LPG TERMINAL,AE,25.466667,55.483333
DUBAYY,AE,25.266667,55.3
MINA JABAL ALI,AE,25.016667,55.05
ABU ZABY,AE,24.5,54.333333
JABAL AZ ZANNAH/RUWAYS,AE,24.2,52.7
ASH SHARIQAH,AE,25.416667,55.366667
RICHARDS BAY,ZA,-28.816667,32.083333
SALDANHA BAY,ZA,-33.033333,17.966667
CAPE TOWN,ZA,-33.916667,18.416667
SIMONSTOWN,ZA,-34.183333,18.433333
MOSSEL BAY,ZA,-34.183333,22.15
PORT ELIZABETH,ZA,-33.966667,25.616667
DURBAN,ZA,-29.866667,31.066667
VERACRUZ,MX,19.2,-96.133333
CIUDAD DEL CARMEN,MX,18.633333,-91.866667
KIRKWALL,GB,58.983333,-2.966667
KAMPONG SAOM,KH,10.633333,103.5
MANTA,EC,-0.95,-80.716667
CALAIS,FR,50.966667,1.85
SAINT-VALERY-SUR-SOMME,FR,50.183333,1.616667
PORT DU HAVRE-ANTIFER,FR,49.65,0.15
HUSNES,NO,59.866667,5.766667
AKRAHAMN,NO,59.266667,5.183333
STAVANGER,NO,58.966667,5.75
SKUDENESHAVN,NO,59.15,5.266667
TANANGER,NO,58.933333,5.583333
KIRKEHAMN,NO,58.233333,6.533333
STUSVIK,NO,58,7.033333
ARENDAL,NO,58.466667,8.766667
KRAGERO,NO,58.866667,9.416667
LARVIK,NO,59.05,10.033333
HOLMESTRAND,NO,59.483333,10.3
DRAMMEN,NO,59.733333,10.25
DROBAK,NO,59.666667,10.65
BUD,NO,62.9,6.916667
HAREID,NO,62.366667,6.033333
ALESUND,NO,62.466667,6.166667
FLORO,NO,61.6,5.033333
STOKKMARKNES,NO,68.566667,14.916667
NARVIK,NO,68.433333,17.416667
BODO,NO,67.283333,14.383333
VADSO,NO,70.066667,29.75
BASUO,CN,19.1,108.616667
ORNSKOLDSVIK,SE,63.283333,18.716667
UMEA HAMN,SE,63.7,20.35
VASTERVIK,SE,57.766667,16.65
STOCKHOLM,SE,59.333333,18.05
MITILINI,GR,39.1,26.566667
PLOMARION,GR,38.983333,26.366667
KHIOS,GR,38.366667,26.133333
NEON KARLOVAS,GR,37.8,26.683333
PITHAGORION,GR,37.683333,26.95
MERSA TOBRUQ,LY,32.083333,23.983333
DARNAH,LY,32.766667,22.65
BANGHAZI,LY,32.116667,20.05
AL BURAYQAH,LY,30.416667,19.6
MINA TARABULUS (TRIPOLI),LY,32.9,13.183333
DIEGO GARCIA,IO,-7.35,72.466667
PIRAN,SI,45.533333,13.566667
TORSHAVN,FO,62,-6.75
KONGSHAVN,FO,62.116667,-6.733333
BRIDPORT HARBOUR,GB,50.716667,-2.766667
NEWLYN,GB,50.1,-5.55
PAR,GB,50.35,-4.7
MEVAGISSEY,GB,50.266667,-4.783333
BRIXHAM HARBOUR,GB,50.4,-3.516667
TORQUAY HARBOUR,GB,50.466667,-3.533333
PORTLAND HARBOUR,GB,50.583333,-2.433333
DOVER HARBOR,GB,51.116667,1.333333
RAMSGATE,GB,51.333333,1.416667
FOLKESTONE HARBOUR,GB,51.083333,1.2
FISHGUARD,GB,52.016667,-4.983333
PORT TALBOT,GB,51.583333,-3.816667
HOLYHEAD,GB,53.316667,-4.633333
BERMEO,ES,43.416667,-2.716667
PUERTO DE BILBAO,ES,43.35,-3.05
GIJON,ES,43.55,-5.666667
MARIN,ES,42.4,-8.7
VIGO,ES,42.233333,-8.716667
HEILIGENHAFEN,DE,54.366667,10.983333
STRALSUND,DE,54.316667,13.1
ORTH,DE,54.45,11.05
MESSINA,IT,38.2,15.566667
PORTO DI PALERMO,IT,38.133333,13.366667
TRAPANI,IT,38.016667,12.5
MARSALA,IT,37.783333,12.433333
PORTO EMPEDOCLE,IT,37.283333,13.533333
LICATA,IT,37.1,13.933333
GELA,IT,37.066667,14.25
SIRACUSA,IT,37.05,15.283333
AUGUSTA,IT,37.216667,15.233333
CATANIA,IT,37.5,15.1
TERMINI IMERESE,IT,37.983333,13.7
BRIDGETOWN,BB,13.1,-59.633333
MUKHO,KR,37.566667,129.116667
SOKCH'O HANG,KR,38.2,128.6
PUSAN,KR,35.1,129.033333
CHEJU HANG,KR,33.516667,126.533333
YOSU,KR,34.733333,127.75
TONGHAE,KR,37.533333,129.15
PORTO DE SUAPE,BR,-8.4,-34.966667
PORTOCEL,BR,-19.85,-40.05
RECIFE,BR,-8.05,-34.866667
PORTO DE MACEIO,BR,-9.666667,-35.733333
PORT OF ILHEUS,BR,-14.783333,-39.016667
PORT DE SALVADOR,BR,-12.966667,-38.516667
TUBARAO,BR,-20.283333,-40.25
RAS LAFFAN,QA,25.916667,51.583333
ANNABA,DZ,36.916667,7.766667
SKIKDA,DZ,36.883333,6.916667
BEJAIA,DZ,36.75,5.083333
DELLYS,DZ,36.916667,3.916667
ALGER,DZ,36.766667,3.066667
MOSTAGANEM,DZ,35.933333,0.083333
ARZEW,DZ,35.85,-0.3
ARZEW EL DJEDID,DZ,35.816667,-0.25
ORAN,DZ,35.7,-0.633333
MERS EL KEBIR,DZ,35.733333,-0.7
BENI SAF,DZ,35.3,-1.383333
GHAZAOUET,DZ,35.1,-1.866667
JIJEL,DZ,36.833333,5.783333
PORT METHANIER,DZ,36.883333,6.95
DJEN-DJEN,DZ,36.816667,5.883333
TUTICORIN,IN,8.8,78.166667
CHENNAI (MADRAS),IN,13.1,80.3
KAKINADA BAY,IN,17,82.316667
VISHAKHAPATNAM,IN,17.683333,83.3
PARADIP,IN,20.266667,86.683333
KAMARAJAR PORT,IN,13.266667,80.316667
KARAIKAL PORT,IN,10.833333,79.866667
DEGERHAMN,SE,56.35,16.416667
VICTORIA HARBOR,CA,48.433333,-123.383333
WESTVIEW,CA,49.833333,-124.516667
POWELL RIVER,CA,49.866667,-124.533333
IMPERIA,IT,43.883333,8.033333
SAVONA,IT,44.316667,8.5
GENOVA,IT,44.4,8.933333
LA SPEZIA,IT,44.1,9.833333
MARINA DI CARRARA,IT,44.033333,10.033333
LIVORNO,IT,43.55,10.316667
KINGSVILLE,CA,42.016667,-82.733333
KORSAKOV,RU,46.616667,142.766667
NEVELSK,RU,46.666667,141.866667
KHOLMSK,RU,47.05,142.05
LAJES,PT,38.4,-28.266667
PONTA DELGADA,PT,37.733333,-25.666667
HORTA,PT,38.533333,-28.633333
RODHOS,GR,36.45,28.233333
STANLEY,AU,-40.766667,145.283333
BURNIE,AU,-41.05,145.95
MOMBETSU KO,JP,44.35,143.35
ABASHIRI KO,JP,44.016667,144.283333
NEMURO KO,JP,43.333333,145.583333
HANASAKI KO,JP,43.283333,145.583333
KUSHIRO KO,JP,42.983333,144.366667
TOMAKOMAI KO,JP,42.633333,141.633333
HAKODATE KO,JP,41.783333,140.716667
ESASI KO,JP,41.866667,140.116667
OTARU KO,JP,43.2,141.016667
RUMOI KO,JP,43.95,141.633333
WAKKANAI,JP,43.416667,141.683333
AOMORI KO,JP,40.833333,140.75
HACHINOHE KO,JP,40.533333,141.55
MIYAKO,JP,39.633333,141.983333
ONAGAWA,JP,38.45,141.45
ONAHAMA KO,JP,36.933333,140.9
KASHIMA KO,JP,35.933333,140.7
KISARAZU KO,JP,35.366667,139.883333
CHIBA KO,JP,35.583333,140.066667
KATSUNAN KO,JP,35.666667,139.983333
KAWASAKI KO,JP,35.5,139.766667
YOKOHAMA KO,JP,35.45,139.583333
OITA KO,JP,33.25,131.666667
SAGANOSEKI KO,JP,33.25,131.866667
TSUKUMI KO,JP,33.083333,131.866667
SAIKI KO,JP,32.966667,131.933333
HOSOSHIMA KO,JP,32.433333,131.666667
SHIBUSHI WAN,JP,31.466667,131.1
MINAMATA KO,JP,32.2,130.383333
MIIKE KO,JP,33,130.416667
HAKATA,JP,33.6,130.4
HAMADA KO,JP,34.9,132.083333
AKITA-FUNAKAWA KO,JP,39.833333,140
TAKAMATSU,JP,34.35,134.05
KOMATSUSHIMA,JP,34.016667,134.6
TACHIBANA,JP,33.866667,134.666667
SUSAKI KO,JP,33.383333,133.3
MATSUYAMA,JP,33.85,132.7
KIKUMA KO,JP,34.033333,132.833333
IMABARI KO,JP,34.066667,133.016667
NIIHAMA,JP,33.983333,133.283333
MARUGAME KO,JP,34.3,133.783333
UBE KO,JP,33.933333,131.233333
SHIMODA KO,JP,34.666667,138.95
OMAEZAKI KO,JP,34.6,138.233333
NAGOYA KO,JP,35.066667,136.866667
YOKKAICHI,JP,34.966667,136.633333
WAKAYAMA-SHIMOTSU KO,JP,34.2,135.133333
SAKAI-SENBOKU,JP,34.55,135.433333
HIMEJI,JP,34.75,134.633333
KAKOGAWA,JP,34.7,134.833333
BEPPU,JP,33.316667,131.516667
KOKURA KO,JP,33.883333,130.883333
ISIKARI WAN,JP,43.233333,141.366667
TSURUGA KO,JP,35.65,136.066667
NAOETSU KO,JP,37.183333,138.25
HABU KO,JP,34.283333,133.183333
SHINGU,JP,33.666667,135.983333
TOKACHI,JP,42.25,143.3
TONDA,JP,34.033333,131.75
EASTERN PART OF NIIGATA-KO,JP,38.016667,139.233333
FUNABASHI,JP,35.666667,139.95
SOMA,JP,37.833333,140.95
HIROHATA,JP,34.766667,134.633333
MEGA,JP,34.783333,134.7
SHIKAMA,JP,34.766667,134.65
MIKAWA,JP,34.716667,137.3
FUSHIKI-TOYAMA,JP,36.766667,137.133333
HIGASHI-HARIMA,JP,34.7,134.833333
OSAKA,JP,34.65,135.433333
ISHIKARI BAY NEW PORT,JP,43.216667,141.283333
UMAG,HR,45.433333,13.516667
ROVINJ,HR,45.083333,13.633333
PULA,HR,44.883333,13.8
SPLIT,HR,43.5,16.433333
LA GUAIRA,VE,10.616667,-66.933333
CARUPANO,VE,10.7,-63.25
GUIRIA,VE,10.566667,-62.3
EUROPA POINT,GI,36.133333,-5.35
KHALIFA BIN SALMAN,BH,26.25,50.75
DURRES,AL,41.316667,19.45
LOCKEPORT,CA,43.7,-65.116667
ST JOHN,CA,45.266667,-66.05
VENTSPILS,LV,57.4,21.533333
LIEPAJA,LV,56.516667,21.016667
SCITUATE,US,42.2,-70.716667
HYANNIS PORT,US,41.633333,-70.3
VINEYARD HAVEN,US,41.45,-70.6
MONTAUK HARBOR,US,41.066667,-71.933333
GREENPORT,US,41.1,-72.366667
NEW HAVEN,US,41.233333,-72.916667
PORT JEFFERSON,US,40.95,-73.083333
BRIDGEPORT,US,41.166667,-73.183333
ROCKPORT,US,42.666667,-70.616667
CRIEHAVEN,US,43.833333,-68.883333
MATINICUS,US,43.866667,-68.883333
ROCKLAND,US,44.1,-69.1
TAKORADI,GH,4.883333,-1.733333
SEKONDI,GH,4.95,-1.7
TEMA,GH,5.616667,0.016667
BERBERA,SO,10.45,45.016667
BOOSAASO,SO,11.283333,49.183333
TINIAN,MP,14.966667,145.616667
MALAGA,ES,36.716667,-4.416667
MOTRIL,ES,36.75,-3.516667
ADRA,ES,36.733333,-3.033333
ALMERIA,ES,36.833333,-2.466667
PUERTO DE CARBONERAS,ES,37,-1.883333
CARTAGENA,ES,37.583333,-0.983333
TORREVIEJA,ES,37.966667,-0.683333
ALICANTE,ES,38.333333,-0.483333
PUERTO DE GANDIA,ES,39,-0.15
VALENCIA,ES,39.45,-0.316667
SAGUNTO,ES,39.65,-0.216667
EL GRAO,ES,39.966667,0.016667
TARRAGONA,ES,41.1,1.233333
BARCELONA,ES,41.35,2.166667
SAN FELIU DE GUIXOLS,ES,41.783333,3.033333
PALAMOS,ES,41.833333,3.116667
PUERTO DE GARRUCHA,ES,37.183333,-1.816667
VILLANUEVA Y GELTRU,ES,41.233333,1.733333
BURGAS,BG,42.483333,27.483333
VARNA,BG,43.183333,27.966667
PORTO DI BARLETTA,IT,41.316667,16.283333
MANFREDONIA,IT,41.616667,15.916667
VASTO,IT,42.116667,14.716667
ORTONA,IT,42.35,14.416667
PESCARA,IT,42.466667,14.216667
ANCONA,IT,43.616667,13.5
PORTO DI LIDO-VENEZIA,IT,45.416667,12.433333
TRIESTE,IT,45.65,13.766667
MUGGIA,IT,45.6,13.766667
MOLFETTA,IT,41.216667,16.6
CROTONE,IT,39.083333,17.133333
TARANTO,IT,40.466667,17.2
GALLIPOLI,IT,40.05,17.983333
OTRANTO,IT,40.15,18.5
MONOPOLI,IT,40.95,17.3
BARI,IT,41.133333,16.866667
BRINDISI,IT,40.65,17.983333
TORRE DEL GRECO,IT,40.783333,14.366667
DALVIK,IS,65.983333,-18.516667
PUERTO DE ALCUDIA,ES,39.833333,3.133333
PALMA DE MALLORCA,ES,39.566667,2.633333
IBIZA,ES,38.9,1.45
TARTUS,SY,34.9,35.866667
BANIYAS,SY,35.183333,35.95
AL LADHIQIYAH,SY,35.533333,35.766667
IRELAND ISLAND,BM,32.316667,-64.833333
DAMMAM,SA,26.5,50.2
AL JUBAYL,SA,27.083333,49.666667
RAS AL GHAR,SA,26.9,49.866667
LIANYUNGANG,CN,34.733333,119.45
YANTAI,CN,37.55,121.45
HULUDAO GANG,CN,40.7,120.983333
YINGKOU,CN,40.683333,122.233333
LUSHUN,CN,38.783333,121.25
DALIAN,CN,38.916667,121.666667
TAICANG,CN,31.65,121.2
TANGSHAN (JINGTANG),CN,39.2,119.016667
QINHUANGDAO,CN,39.933333,119.616667
PORT DE ST PIERRE,CA,46.783333,-56.166667
CALCITE,US,45.416667,-83.783333
MACKINAC ISLAND,US,45.85,-84.616667
HARBOR BEACH,US,43.85,-82.65
PORTO DO AMBRIZ,AO,-7.833333,13.1
MACAU,MO,22.183333,113.566667
NAPIER,NZ,-39.483333,176.916667
NEW PLYMOUTH,NZ,-39.066667,174.033333
BANDHOLM,DK,54.833333,11.5
RODBY HAVN,DK,54.65,11.35
NYSTED,DK,54.666667,11.733333
VAITAPE,PF,-16.5,-151.75
